"TOA5","CR300Series","CR300","28930","CR300.Std.10.04","CPU:PasoAlejoLewis_v01.CR300","10470","a_HumSuel_pAlejoLew"
"TIMESTAMP","RECORD","hs_t1_20_L","hs_t1_40_L","hs_t1_60_L","hs_t2_20_L","hs_t2_40_L","hs_t2_60_L","hs_t3_20_L","hs_t3_40_L","hs_t3_60_L","hs_t4_20_L","hs_t4_40_L","hs_t4_60_L"
"TS","RN","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-10-19 19:30:00",127,0.251,0.29,0.322,0.32,0.4,0.42,0.329,0.358,0.398,0.361,0.362,0.41
"2022-10-19 19:45:00",128,0.251,0.29,0.322,0.321,0.401,0.42,0.329,0.358,0.398,0.362,0.362,0.41
"2022-10-19 20:00:00",129,0.251,0.29,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-19 20:15:00",130,0.251,0.29,0.322,0.321,0.401,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-19 20:30:00",131,0.251,0.29,0.322,0.321,0.4,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-19 20:45:00",132,0.251,0.29,0.322,0.321,0.401,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-19 21:00:00",133,0.251,0.29,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-19 21:15:00",134,0.251,0.289,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-19 21:30:00",135,0.251,0.289,0.322,0.321,0.401,0.42,0.329,0.357,0.398,0.361,0.362,0.41
"2022-10-19 21:45:00",136,0.251,0.289,0.322,0.321,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-19 22:00:00",137,0.251,0.289,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-19 22:15:00",138,0.251,0.289,0.322,0.321,0.401,0.42,0.329,0.357,0.398,0.361,0.363,0.409
"2022-10-19 22:30:00",139,0.251,0.289,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.361,0.362,0.41
"2022-10-19 22:45:00",140,0.251,0.289,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-19 23:00:00",141,0.251,0.289,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-19 23:15:00",142,0.251,0.289,0.322,0.321,0.4,0.42,0.329,0.357,0.398,0.361,0.363,0.41
"2022-10-19 23:30:00",143,0.251,0.289,0.322,0.321,0.401,0.421,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-19 23:45:00",144,0.251,0.289,0.322,0.321,0.401,0.42,0.329,0.357,0.398,0.361,0.362,0.41
"2022-10-20 00:00:00",145,0.251,0.289,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.361,0.362,0.41
"2022-10-20 00:15:00",146,0.251,0.289,0.322,0.321,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 00:30:00",147,0.251,0.289,0.322,0.321,0.401,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 00:45:00",148,0.251,0.289,0.322,0.321,0.401,0.421,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 01:00:00",149,0.251,0.289,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 01:15:00",150,0.251,0.289,0.322,0.321,0.401,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 01:30:00",151,0.251,0.289,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 01:45:00",152,0.251,0.289,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 02:00:00",153,0.251,0.289,0.322,0.32,0.401,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 02:15:00",154,0.251,0.289,0.322,0.321,0.401,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 02:30:00",155,0.251,0.289,0.322,0.321,0.401,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 02:45:00",156,0.251,0.289,0.322,0.32,0.401,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 03:00:00",157,0.251,0.289,0.322,0.32,0.401,0.421,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 03:15:00",158,0.251,0.289,0.322,0.321,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 03:30:00",159,0.251,0.289,0.322,0.321,0.4,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 03:45:00",160,0.251,0.289,0.322,0.32,0.401,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 04:00:00",161,0.251,0.289,0.322,0.32,0.401,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 04:15:00",162,0.251,0.289,0.322,0.32,0.401,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 04:30:00",163,0.251,0.289,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 04:45:00",164,0.251,0.289,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 05:00:00",165,0.251,0.289,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 05:15:00",166,0.251,0.289,0.322,0.321,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 05:30:00",167,0.251,0.289,0.322,0.321,0.401,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 05:45:00",168,0.251,0.289,0.322,0.321,0.4,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 06:00:00",169,0.251,0.289,0.322,0.321,0.4,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 06:15:00",170,0.251,0.289,0.322,0.32,0.401,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 06:30:00",171,0.251,0.289,0.322,0.321,0.4,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 06:45:00",172,0.251,0.289,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 07:00:00",173,0.251,0.289,0.322,0.321,0.401,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 07:15:00",174,0.251,0.289,0.322,0.321,0.401,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 07:30:00",175,0.251,0.289,0.322,0.321,0.401,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 07:45:00",176,0.251,0.289,0.322,0.32,0.401,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 08:00:00",177,0.251,0.289,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 08:15:00",178,0.251,0.289,0.322,0.321,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 08:30:00",179,0.251,0.289,0.322,0.32,0.401,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 08:45:00",180,0.251,0.289,0.322,0.32,0.401,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 09:00:00",181,0.251,0.289,0.322,0.321,0.401,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 09:15:00",182,0.251,0.289,0.322,0.321,0.401,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 09:30:00",183,0.251,0.289,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.409
"2022-10-20 09:45:00",184,0.251,0.289,0.322,0.321,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.409
"2022-10-20 10:00:00",185,0.251,0.289,0.322,0.321,0.4,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 10:15:00",186,0.251,0.289,0.322,0.321,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 10:30:00",187,0.251,0.289,0.322,0.32,0.4,0.42,0.329,0.357,0.398,0.362,0.363,0.41
"2022-10-20 10:45:00",188,0.251,0.289,0.322,0.32,0.401,0.42,0.329,0.357,0.398,0.362,0.362,0.41
"2022-10-20 11:00:00",189,0.251,0.289,0.322,0.321,0.4,0.42,0.329,0.357,0.398,0.362,0.362,0.41
